,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
500,16.706904,0,4,0,0,0,-124,0,-126,1000,0
665,22.231984,0,3,0,0,0,-124,0,-126,1000,0
695,23.234704,0,3,1,0,0,-124,0,-126,1000,1
729,24.370944,0,3,1,0,0,-124,0,-126,1000,0
786,26.277344,0,4,1,0,0,-124,0,-126,1000,0
824,27.547833999999998,0,4,1,0,0,-124,0,-126,1000,1
847,28.315663999999998,0,4,1,0,0,-124,0,-126,1000,0
1316,43.998944,1,4,1,0,0,-124,0,-126,1000,0
1388,46.407384,1,3,1,0,0,-124,0,-126,1000,0
1489,49.789364,1,4,1,0,0,-124,0,-126,1000,0
