,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
465,15.555025,0,19,0,0,0,-858,-888,-854,1000,0
579,19.379585,0,19,1,0,0,-858,-888,-854,1000,1
623,20.851855,0,19,1,0,0,-858,-888,-854,1000,0
675,22.592885,0,18,1,0,0,-858,-888,-854,1000,0
700,23.429345,0,18,1,0,0,-858,-888,-854,1000,1
721,24.132015,0,18,1,0,0,-858,-888,-854,1000,0
1142,38.211234999999995,1,18,1,0,0,-858,-888,-854,1000,0
1315,43.995545,1,19,1,0,0,-858,-888,-854,1000,0
1478,49.447025,1,19,2,0,0,-858,-888,-854,1000,2
1510,50.519335,1,19,2,0,0,-858,-888,-854,1000,0
1563,52.290895,1,16,2,0,0,-858,-888,-854,1000,0
1590,53.195584999999994,1,16,1,0,0,-858,-888,-854,1000,1
1811,60.590115,1,17,1,0,0,-858,-888,-854,1000,1
1869,62.53176499999999,1,17,1,0,0,-858,-888,-854,1000,0
