,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
349,11.678088500000001,0,19,0,0,0,-850,0,-849,1000,0
383,12.8286485,0,19,1,0,0,-850,0,-849,1000,1
416,13.9343385,0,19,1,0,0,-850,0,-849,1000,0
814,27.2539385,1,19,1,0,0,-850,0,-849,1000,0
947,31.706658499999996,1,18,1,0,0,-850,0,-849,1000,0
978,32.744398499999996,1,18,1,0,0,-850,0,-849,1000,1
1009,33.7800485,1,18,1,0,0,-850,0,-849,1000,0
1101,36.8569685,1,19,1,0,0,-850,0,-849,1000,0
1130,37.8254185,1,19,2,0,0,-850,0,-849,1000,2
1164,38.9628185,1,19,2,0,0,-850,0,-849,1000,0
1206,40.3655185,1,17,2,0,0,-850,0,-849,1000,0
1229,41.1352285,1,17,1,0,0,-850,0,-849,1000,1
1271,42.5391085,1,17,1,0,0,-850,0,-849,1000,0
