,time,SajoAnker,MizuKukan,MizuAction,goho,AutoHunmuLog,carposition.z,carsubposition.z,fireposition.z,firesubposition.z,MizuGoOrStop
431,14.413902000000002,0,11,0,0,0,-462,0,-463,1000,0
466,15.599452000000001,0,11,1,0,0,-462,0,-463,1000,1
493,16.502142,0,11,1,0,0,-462,0,-463,1000,0
977,32.700612,1,11,1,0,0,-462,0,-463,1000,0
1127,37.719872,1,10,1,0,0,-462,0,-463,1000,0
1193,39.926532,1,10,1,0,0,-462,0,-463,1000,1
1214,40.628822,1,10,1,0,0,-462,0,-463,1000,0
1311,43.872921999999996,1,11,1,0,0,-462,0,-463,1000,0
1580,52.870082,1,11,1,0,0,-462,0,-463,1000,1
1605,53.706052,1,11,1,0,0,-462,0,-463,1000,0
1692,56.617461999999996,1,9,1,0,0,-462,0,-463,1000,0
1817,60.792562,1,11,1,0,0,-462,0,-463,1000,0
1860,62.231532,1,11,2,0,0,-462,0,-463,1000,2
1933,64.67415199999999,1,11,2,0,0,-462,0,-463,1000,0
2001,66.947042,1,9,2,0,0,-462,0,-463,1000,0
2034,68.053602,1,9,1,0,0,-462,0,-463,1000,1
2069,69.223322,1,9,1,0,0,-462,0,-463,1000,0
